,title,year,vote_count,vote_average,popularity,genres,weighted_rating,tagline,overview,id,poster_path,description,cast,crew,keywords,mixed_credits
685,John Q,2002,604,7,8.867562,"['Drama', 'Thriller', 'Crime']",6.2661706452643795,Give a father no options and you leave him no choice.,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",8470,/4jX2XxZbpMy2rGSigoIaFAbhOez.jpg,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.Give a father no options and you leave him no choice.","['denzelwashington', 'robertduvall', 'anneheche']",['nickcassavetes'],"['fathersonrelationship', 'chicago', 'heartattack', 'kidnap', 'heartdiseas', 'hostage-tak', 'hospit']",Drama Thriller Crime denzelwashington robertduvall anneheche nickcassavetes nickcassavetes nickcassavetes fathersonrelationship chicago heartattack kidnap heartdiseas hostage-tak hospit
686,"Good bye, Lenin!",2003,602,7,10.605595,"['Comedy', 'Drama', 'Romance']",6.264753986278404,The German Democratic Republic lives on -- in 79 square meters!,An affectionate and refreshing East/West-Germany comedy about a boy who’s mother was in a coma while the Berlin wall fell and when she wakes up he must try to keep her from learning what happen (since she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,338,/pb62NJ3tRxgmxBSM9u1Wg1dmmvG.jpg,An affectionate and refreshing East/West-Germany comedy about a boy who’s mother was in a coma while the Berlin wall fell and when she wakes up he must try to keep her from learning what happen (since she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.The German Democratic Republic lives on -- in 79 square meters!,"['danielbrühl', 'katrinsass', 'chulpankhamatova']",['wolfgangbecker'],"['bureaucraci', 'berlinwal', 'policest', 'coma', 'lossofmoth', 'wifehusbandrelationship', 'patriot', 'germandemocraticrepubl', 'social', 'newsbroadcast', 'lossoffath', 'lenin', 'singl', '\xa0', 'filmescontraocomunismo']",Comedy Drama Romance danielbrühl katrinsass chulpankhamatova wolfgangbecker wolfgangbecker wolfgangbecker bureaucraci berlinwal policest coma lossofmoth wifehusbandrelationship patriot germandemocraticrepubl social newsbroadcast lossoffath lenin singl   filmescontraocomunismo
687,Pi,1998,600,7,10.621362,"['Mystery', 'Drama', 'Thriller']",6.263331846986872,"There will be no order, only chaos",The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future.,473,/d4pDorUHjIVFiVGiJar6sF2r8TQ.jpg,"The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future.There will be no order, only chaos","['seangullette', 'markmargolis', 'benshenkman']",['darrenaronofsky'],"['hacker', 'mathematician', 'helix', 'headach', 'chaostheori', 'migrain', 'mathemat', 'insan', 'genius']",Mystery Drama Thriller seangullette markmargolis benshenkman darrenaronofsky darrenaronofsky darrenaronofsky hacker mathematician helix headach chaostheori migrain mathemat insan genius
688,Manhattan,1979,600,7,12.050759,"['Comedy', 'Drama', 'Romance']",6.263331846986872,Woody Allen's New Comedy Hit,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,696,/k4eT3EvfxW1L9Wmt04UqJqCvCR6.jpg,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.Woody Allen's New Comedy Hit,"['woodyallen', 'dianekeaton', 'michaelmurphy']",['woodyallen'],"['newyork', 'adulteri', 'basedonnovel', 'lolita', 'love', 'romanc', 'independentfilm', 'mistress', 'writer', 'relationship', 'citi', 'divorc', 'manhattan,newyorkc', 'marri']","Comedy Drama Romance woodyallen dianekeaton michaelmurphy woodyallen woodyallen woodyallen newyork adulteri basedonnovel lolita love romanc independentfilm mistress writer relationship citi divorc manhattan,newyorkc marri"
689,What Happened to Monday,2017,598,7,60.581223,"['Science Fiction', 'Thriller']",6.261904195527544,Seven sisters. One identity.,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",406990,/o6EsOqITcSzcdwD1zxBM9imdxjr.jpg,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.Seven sisters. One identity.","['noomirapace', 'marwankenzari', 'christianrubeck']",['tommywirkola'],"['chase', 'falseident', 'overpopul', 'investig', 'betray', 'conspiraci', 'execut', 'dystopicfutur', 'populationcontrol', 'septuplet']",Science Fiction Thriller noomirapace marwankenzari christianrubeck tommywirkola tommywirkola tommywirkola chase falseident overpopul investig betray conspiraci execut dystopicfutur populationcontrol septuplet
690,Dawn of the Dead,1978,597,7,19.24201,['Horror'],6.261188292710402,"When there's no more room in hell, the dead will walk the earth.","During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",923,/8D6WEfNZr6JadQrqJr5OOq1QlV0.jpg,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.When there's no more room in hell, the dead will walk the earth.","['davidemge', 'kenforee', 'scotth.reiniger']",['georgea.romero'],"['helicopt', 'newsbroadcast', 'materi', 'machet', 'bite', 'chao', 'martiallaw', 'stateofemerg', 'rockgang', 'infect', 'armi', 'biker', 'truck', 'gore', 'zombi', 'motorcyclegang', 'violenc', 'store', 'mall', 'pittsburgh']",Horror davidemge kenforee scotth.reiniger georgea.romero georgea.romero georgea.romero helicopt newsbroadcast materi machet bite chao martiallaw stateofemerg rockgang infect armi biker truck gore zombi motorcyclegang violenc store mall pittsburgh
691,Mary and Max,2009,596,7,8.888393,"['Animation', 'Comedy', 'Drama']",6.260470999790704,Sometimes perfect strangers make the best friends.,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. He writes back, with chocolate. Thus begins a 20-year correspondence. Will the two ever meet face to face?",24238,/k0lQISUC4NuvKYasJn59JHc2rla.jpg,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. He writes back, with chocolate. Thus begins a 20-year correspondence. Will the two ever meet face to face?Sometimes perfect strangers make the best friends.","['tonicollette', 'philipseymourhoffman', 'ericbana']",['adamelliot'],"['chocol', 'birthmark', 'onlychild', 'approach', 'australia', 'friendshipbracelet', 'stopmot', 'neighbor', 'phonebook', 'correspond', 'penpal']",Animation Comedy Drama tonicollette philipseymourhoffman ericbana adamelliot adamelliot adamelliot chocol birthmark onlychild approach australia friendshipbracelet stopmot neighbor phonebook correspond penpal
692,Night of the Living Dead,1968,591,7,14.384198,['Horror'],6.256863541253098,"If it doesn't scare you, you're already dead!","A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype.",10331,/faPfcZ181gWmCoMbal7bAXFPFh9.jpg,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype.If it doesn't scare you, you're already dead!","['duanejones', ""juditho'dea"", 'karlhardman']",['georgea.romero'],"['brothersisterrelationship', 'cemeteri', 'gun', 'gasstat', 'lossoffath', 'cellar', 'hous', 'barricad', 'zombi', 'trap', 'bitten']",Horror duanejones juditho'dea karlhardman georgea.romero georgea.romero georgea.romero brothersisterrelationship cemeteri gun gasstat lossoffath cellar hous barricad zombi trap bitten
693,Dazed and Confused,1993,588,7,6.8652,"['Comedy', 'Drama']",6.254682123076737,See it with a bud.,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",9571,/ksw0G7zSM98rKZWNwl5EuEgpXpt.jpg,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.See it with a bud.","['jasonlondon', 'rorycochrane', 'wileywiggins']",['richardlinklater'],"['1970s', 'texa', 'highschool', 'comedi', 'comingofag', 'summer', 'teenag', 'perioddrama', 'greatsoundtrack']",Comedy Drama jasonlondon rorycochrane wileywiggins richardlinklater richardlinklater richardlinklater 1970s texa highschool comedi comingofag summer teenag perioddrama greatsoundtrack
694,Philomena,2013,588,7,6.927182,['Drama'],6.254682123076737,These two unlikely companions are on a journey to find her long lost son.,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",205220,/6BTXHupSPkrwsoz4Br6qwwSVmhj.jpg,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.These two unlikely companions are on a journey to find her long lost son.","['judidench', 'stevecoogan', 'sophiekennedyclark']",['stephenfrears'],"['mother', 'washingtond.c.', 'journalist', 'adopt', 'forgiv', 'son', 'faith', 'search', 'church', 'ireland', 'basedontrueev', 'nun']",Drama judidench stevecoogan sophiekennedyclark stephenfrears stephenfrears stephenfrears mother washingtond.c. journalist adopt forgiv son faith search church ireland basedontrueev nun
695,Only Lovers Left Alive,2013,585,7,13.594992,"['Drama', 'Romance']",6.252487860436139,,"After being around for centuries and now living in the modern age, vampire Adam is a rockstar that cannot grow accustomed to the new modern world with all of its new technology. While he lives in Detroit, his wife Eve lives in Tangier, flourishing in the new world. But when she senses Adam's depression with society, she gets on a plane and goes to see him. Shortly after Eve gets there, her little sister, Ava, shows up after 87 years and disrupts the couple's idyll reunion.",152603,/AfIr2ZUwAW3E5qBPfrJGDyKufAl.jpg,"After being around for centuries and now living in the modern age, vampire Adam is a rockstar that cannot grow accustomed to the new modern world with all of its new technology. While he lives in Detroit, his wife Eve lives in Tangier, flourishing in the new world. But when she senses Adam's depression with society, she gets on a plane and goes to see him. Shortly after Eve gets there, her little sister, Ava, shows up after 87 years and disrupts the couple's idyll reunion.","['tomhiddleston', 'tildaswinton', 'miawasikowska']",['jimjarmusch'],"['vampir', 'night', 'musician', 'love', 'blood', 'contamin']",Drama Romance tomhiddleston tildaswinton miawasikowska jimjarmusch jimjarmusch jimjarmusch vampir night musician love blood contamin
696,Before Midnight,2013,583,7,11.30324,"['Romance', 'Drama']",6.251017826730015,Everything's better with maturity.,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,132344,/uDdobcCBfPObD2pqDSTjXxELt3c.jpg,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.Everything's better with maturity.,"['ethanhawke', 'juliedelpy', 'seamusdavey-fitzpatrick']",['richardlinklater'],"['hotel', 'airport', 'hotelroom', 'greec', 'dream', 'greek', 'friend', 'author', 'writer', 'summervac', 'twin']",Romance Drama ethanhawke juliedelpy seamusdavey-fitzpatrick richardlinklater richardlinklater richardlinklater hotel airport hotelroom greec dream greek friend author writer summervac twin
697,Escape from Alcatraz,1979,581,7,11.837667,"['Crime', 'Drama']",6.249541999787612,No one has ever escaped from Alcatraz...and no one ever will!,"Escape from Alcatraz tells the story of the only three men ever to escape from the infamous maximum security prison at Alcatraz. In 29 years, the seemingly impenetrable federal penitentiary, which housed Al Capone and ""Birdman"" Robert Stroud, was only broken once - by three men never heard of again.",10734,/lBAxIEywz3KfzXimn9qHBArLHU8.jpg,"Escape from Alcatraz tells the story of the only three men ever to escape from the infamous maximum security prison at Alcatraz. In 29 years, the seemingly impenetrable federal penitentiary, which housed Al Capone and ""Birdman"" Robert Stroud, was only broken once - by three men never heard of again.No one has ever escaped from Alcatraz...and no one ever will!","['clinteastwood', 'patrickmcgoohan', 'robertsblossom']",['donsiegel'],"['prison', 'basedonnovel', 'island', 'mous', 'alcatraz', 'biographi', 'prisonwarden', 'escapeeconvict', 'pubichair', 'escapefromprison', 'dummi', 'inmat', 'nudefight', '1960s']",Crime Drama clinteastwood patrickmcgoohan robertsblossom donsiegel donsiegel donsiegel prison basedonnovel island mous alcatraz biographi prisonwarden escapeeconvict pubichair escapefromprison dummi inmat nudefight 1960s
698,Martyrs,2008,581,7,7.716326,"['Horror', 'Drama', 'Thriller']",6.249541999787612,They did not finish to be alive...,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",9539,/fC2Uld8qZ6waCuo71oTKzJTscaN.jpg,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.They did not finish to be alive...","['mylènejampanoï', 'morjanaalaoui', 'mikechute']",['pascallaugier'],"['childabus', 'suffer', 'reveng', 'torturechamb', 'tortur', 'cruelti', 'newfrenchextrem']",Horror Drama Thriller mylènejampanoï morjanaalaoui mikechute pascallaugier pascallaugier pascallaugier childabus suffer reveng torturechamb tortur cruelti newfrenchextrem
699,A Fish Called Wanda,1988,576,7,11.400353,"['Comedy', 'Crime']",6.245826861172699,"A tale of murder, lust, greed, revenge, and seafood.","A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.",623,/9gZZyQ8XStpUJBFU1ceU4xx1crv.jpg,"A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.A tale of murder, lust, greed, revenge, and seafood.","['johncleese', 'jamieleecurtis', 'kevinkline']",['charlescrichton'],"['robberi', 'infidel', 'cheat', 'heartattack', 'heist', 'lawyer', 'silenc', 'courtroom', 'americanabroad', 'cultfilm', 'animalabus', 'barrist', 'stutter', 'weir', 'yell', 'killingadog', 'cuticalscissor', 'runoverbyasteamrol', 'gag', 'excus', 'barrel', 'zoophilia', 'screwbal', 'stolenjewelri']",Comedy Crime johncleese jamieleecurtis kevinkline charlescrichton charlescrichton charlescrichton robberi infidel cheat heartattack heist lawyer silenc courtroom americanabroad cultfilm animalabus barrist stutter weir yell killingadog cuticalscissor runoverbyasteamrol gag excus barrel zoophilia screwbal stolenjewelri
700,They Call Me Jeeg Robot,2015,575,7,10.649494,"['Action', 'Drama', 'Comedy', 'Thriller', 'Science Fiction']",6.245079415048985,,"Enzo Ceccotti comes into contact with a radioactive substance, then accidently discovers he has superpowers. A touchy, navel-gazing introvert, he’s sure his new capabilities will do wonders for his life of crime, but that all changes when he meets Alessia, who’s convinced he’s the hero from the famous Japanese comic strip, Steel Jeeg Robot.",364433,/hHgsvMPhGQ5T7kJsSezQHBjGDBp.jpg,"Enzo Ceccotti comes into contact with a radioactive substance, then accidently discovers he has superpowers. A touchy, navel-gazing introvert, he’s sure his new capabilities will do wonders for his life of crime, but that all changes when he meets Alessia, who’s convinced he’s the hero from the famous Japanese comic strip, Steel Jeeg Robot.","['claudiosantamaria', 'ileniapastorelli', 'lucamarinelli']",['gabrielemainetti'],['superhero'],Action Drama Comedy Thriller Science Fiction claudiosantamaria ileniapastorelli lucamarinelli gabrielemainetti gabrielemainetti gabrielemainetti superhero
701,Lost Highway,1997,572,7,8.449722,"['Drama', 'Thriller', 'Mystery']",6.242828160819508,,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",638,/z6yhgEzGUJaBBgAxoyggRzwLnVM.jpg,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.","['billpullman', 'patriciaarquette', 'johnroselius']",['davidlynch'],"['schizophrenia', 'prison', 'pornographi', 'sadist', 'dualident', 'jealousi', 'dream', 'erotic', 'sexualfrustr', 'violenthusband', 'paranoia', 'headach', 'impot', 'motel', 'prisoncel', 'jazzmusician', 'nightmar', 'gangsterboss', 'viciouscircl', 'carmechan', 'videoband', 'hallucin', 'cadillac', 'suspicion', 'bloodthirsti', 'bedroom', 'housebreak', 'highway', 'surreal', 'identitycrisi', 'dyinganddeath', 'transform', 'polic', 'insan', 'murder', 'carcrash', 'extramaritalaffair', 'femalecorps']",Drama Thriller Mystery billpullman patriciaarquette johnroselius davidlynch davidlynch davidlynch schizophrenia prison pornographi sadist dualident jealousi dream erotic sexualfrustr violenthusband paranoia headach impot motel prisoncel jazzmusician nightmar gangsterboss viciouscircl carmechan videoband hallucin cadillac suspicion bloodthirsti bedroom housebreak highway surreal identitycrisi dyinganddeath transform polic insan murder carcrash extramaritalaffair femalecorps
702,An American Werewolf in London,1981,571,7,13.390802,"['Horror', 'Comedy']",6.242074756004404,Beware the Moon.,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,814,/r5CbVhy3vO6SqdOTwinZVtaRbhb.jpg,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.Beware the Moon.,"['davidnaughton', 'jennyagutter', 'griffindunne']",['johnlandis'],"['lossoflov', 'intensivecar', 'dyinganddeath', 'transform', 'blackhumor', 'pub', 'ruralset', 'werewolf', 'animalhorror']",Horror Comedy davidnaughton jennyagutter griffindunne johnlandis johnlandis johnlandis lossoflov intensivecar dyinganddeath transform blackhumor pub ruralset werewolf animalhorror
703,The Seventh Seal,1957,569,7,6.47828,"['Fantasy', 'Drama']",6.240563439466028,,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",490,/iJXSumDrz64AvmFZaHHNBGDO1ex.jpg,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.","['maxvonsydow', 'gunnarbjörnstrand', 'bengtekerot']",['ingmarbergman'],"['chess', 'countrysid', 'witch', 'blacksmith', 'allegori', 'symbol', 'artist', 'lastjudg', 'pest', 'crusad', 'juggler', 'burningofwitch', 'senseoflif', 'dyinganddeath', 'demon', 'deathpersonifi', 'deathincarn']",Fantasy Drama maxvonsydow gunnarbjörnstrand bengtekerot ingmarbergman ingmarbergman ingmarbergman chess countrysid witch blacksmith allegori symbol artist lastjudg pest crusad juggler burningofwitch senseoflif dyinganddeath demon deathpersonifi deathincarn
704,Awakenings,1990,568,7,13.201595,['Drama'],6.239805518746932,There is no such thing as a simple miracle.,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",11005,/6vkJhhd9h9QxMGHYQjVY1fY5XSI.jpg,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.There is no such thing as a simple miracle.","['robertdeniro', 'robinwilliams', 'johnheard']",['pennymarshall'],"['coma', 'basedonnovel', 'miracl', 'frustrat', 'hope', 'basedontruestori', 'hospit', 'medicalexperi', 'ill', 'womandirector', 'comatos']",Drama robertdeniro robinwilliams johnheard pennymarshall pennymarshall pennymarshall coma basedonnovel miracl frustrat hope basedontruestori hospit medicalexperi ill womandirector comatos
705,The Last King of Scotland,2006,568,7,9.424157,['Drama'],6.239805518746932,Charming. Magnetic. Murderous.,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.",1523,/rgJa3DRf8L2EnYKr5ZRMpuQn0s2.jpg,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.Charming. Magnetic. Murderous.","['forestwhitaker', 'jamesmcavoy', 'simonmcburney']",['kevinmacdonald'],"['dictat', '1970s', 'general', 'kidnap', 'naiveti', 'luxuri', 'oscaraward', 'charisma', 'polygami', 'uganda', 'dictatorship']",Drama forestwhitaker jamesmcavoy simonmcburney kevinmacdonald kevinmacdonald kevinmacdonald dictat 1970s general kidnap naiveti luxuri oscaraward charisma polygami uganda dictatorship
706,"Planes, Trains and Automobiles",1987,567,7,9.420183,['Comedy'],6.239046083700725,What he really wanted was to spend Thanksgiving with his family. What he got was three days with the turkey.,"A man must struggle to travel home for Thanksgiving, with an obnoxious slob of a shower ring salesman his only companion.",2609,/t7Rrs11VNjWAi8loMLhRe94gesE.jpg,"A man must struggle to travel home for Thanksgiving, with an obnoxious slob of a shower ring salesman his only companion.What he really wanted was to spend Thanksgiving with his family. What he got was three days with the turkey.","['stevemartin', 'johncandy', 'lailarobins']",['johnhughes'],"['thanksgiv', 'receptionist', 'slob', 'st.louismissouri', 'doubletak', ""o'hareairportchicago"", 'chatterbox', '\xa0wichitakansa', 'speedingticket', 'chewingtobacco', 'creditcardfraud', 'statetroop', 'searstowerchicago', 'unlikelyfriendship', 'aftercreditssting']",Comedy stevemartin johncandy lailarobins johnhughes johnhughes johnhughes thanksgiv receptionist slob st.louismissouri doubletak o'hareairportchicago chatterbox  wichitakansa speedingticket chewingtobacco creditcardfraud statetroop searstowerchicago unlikelyfriendship aftercreditssting
707,Colonia,2016,566,7,10.156891,"['Drama', 'Romance', 'History']",6.238285129784426,There is no turning back,"A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",318781,/buEhROtfCEFNhjPWdJVgeVnrThj.jpg,"A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.There is no turning back","['emmawatson', 'danielbrühl', 'michaelnyqvist']",['floriangallenberger'],"['kidnap', 'cult', 'chile', 'religiousfanat', 'politicalunrest']",Drama Romance History emmawatson danielbrühl michaelnyqvist floriangallenberger floriangallenberger floriangallenberger kidnap cult chile religiousfanat politicalunrest
708,Layer Cake,2004,565,7,9.642214,"['Drama', 'Thriller', 'Crime']",6.237522652436862,,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",4836,/y6BzUkrx789OhVMDXZiBBVHu6OQ.jpg,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...","['danielcraig', 'tomhardy', 'colmmeaney']",['matthewvaughn'],"['kidnap', 'ecstasi', 'drugtraff', 'drugmul', 'hitman', 'missionofmurd', 'plannedmurd', 'drugsmuggl', 'exit', 'murder']",Drama Thriller Crime danielcraig tomhardy colmmeaney matthewvaughn matthewvaughn matthewvaughn kidnap ecstasi drugtraff drugmul hitman missionofmurd plannedmurd drugsmuggl exit murder
709,The Space Between Us,2017,564,7,11.824404,"['Romance', 'Adventure', 'Science Fiction', 'Drama']",6.236758647078583,What's your favorite thing about Earth?,A young man raised by scientists on Mars returns to Earth to find his father.,365942,/AjZ22T1tFWlmwi4jIsV0fsvnI6c.jpg,A young man raised by scientists on Mars returns to Earth to find his father.What's your favorite thing about Earth?,"['asabutterfield', 'brittrobertson', 'carlagugino']",['peterchelsom'],"['mar', 'spacecoloni', 'fishoutofwat', 'teenag', 'scientist', 'teenagelov', 'nearfutur', 'searchforfath']",Romance Adventure Science Fiction Drama asabutterfield brittrobertson carlagugino peterchelsom peterchelsom peterchelsom mar spacecoloni fishoutofwat teenag scientist teenagelov nearfutur searchforfath
710,Porco Rosso,1992,563,7,8.08304,"['Comedy', 'Animation', 'Adventure']",6.235993109111761,A Pig's Got to Fly,"Porco Rosso, known in Japan as Crimson Pig (Kurenai no Buta) is the sixth animated film by Hayao Miyazaki and released in 1992. You're introduced to an Italian World War I fighter ace, now living as a freelance bounty hunter chasing ""air pirates"" in the Adriatic Sea. He has been given a curse that changed his head to that of a pig. Once called Marco Pagot, he is now known to the world as ""Porco Rosso"", Italian for ""Red Pig.""",11621,/d8J98dLZkfTpJY64VvtCOH2UkXP.jpg,"Porco Rosso, known in Japan as Crimson Pig (Kurenai no Buta) is the sixth animated film by Hayao Miyazaki and released in 1992. You're introduced to an Italian World War I fighter ace, now living as a freelance bounty hunter chasing ""air pirates"" in the Adriatic Sea. He has been given a curse that changed his head to that of a pig. Once called Marco Pagot, he is now known to the world as ""Porco Rosso"", Italian for ""Red Pig.""A Pig's Got to Fly","['shûichirômoriyama', 'tokikokatô', 'sanshikatsura']",['hayaomiyazaki'],"['itali', 'beach', 'fascism', 'mediterranean', 'transform', 'singer', 'warhero', 'airpir', 'anim']",Comedy Animation Adventure shûichirômoriyama tokikokatô sanshikatsura hayaomiyazaki hayaomiyazaki hayaomiyazaki itali beach fascism mediterranean transform singer warhero airpir anim
711,They Live,1988,562,7,11.292364,"['Action', 'Horror', 'Science Fiction', 'Thriller']",6.235226033920107,Who are they? And what do they want?,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.",8337,/8N8BnBGwgsxXXwZ2q9eVFFIKFL1.jpg,"Nada, a down-on-his-luck construction worker, discovers a pair of special sunglasses. Wearing them, he is able to see the world as it really is: people being bombarded by media and government with messages like ""Stay Asleep"", ""No Imagination"", ""Submit to Authority"". Even scarier is that he is able to see that some usually normal-looking people are in fact ugly aliens in charge of the massive campaign to keep humans subdued.Who are they? And what do they want?","['roddypiper', 'keithdavid', 'megfoster']",['johncarpenter'],"['dystopia', 'socialcommentari', 'alieninvas', 'sunglass', 'brawl']",Action Horror Science Fiction Thriller roddypiper keithdavid megfoster johncarpenter johncarpenter johncarpenter dystopia socialcommentari alieninvas sunglass brawl
712,The Fundamentals of Caring,2016,560,7,6.138199,"['Comedy', 'Drama']",6.233687253304252,Caring is a funny thing.,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",318121,/jeustb4cm3S3jfULDhMyXW2YCIt.jpg,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.Caring is a funny thing.","['paulrudd', 'craigroberts', 'selenagomez']",['robburnett'],[],Comedy Drama paulrudd craigroberts selenagomez robburnett robburnett robburnett
